X,Y,OBJECTID,Enabled,FeatureID,FeatureType,Ownership,AdministrativeArea,WaterSystem,InstallDate,LocationDescription,Elevation,GPS_Date,WebMap,AerialCorrected,Asset_Description
-9809781.6937,5221276.4859,11,1,54H009,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"25100 MONAVILLE RD, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4012562402577&lng=-88.1227682930935&z=19&slat=42.4012562402577&slng=-88.1227682930935&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809785.0233,5221425.3405,12,1,54H017,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37079 PIPER LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4022436628215&lng=-88.1227982037032&z=19&slat=42.4022436628215&slng=-88.1227982037032&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809788.3619,5221574.6044,13,1,54H028,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37151 PIPER LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4032337852498&lng=-88.1228281948369&z=19&slat=42.4032337852498&slng=-88.1228281948369&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809792.4685,5221758.1946,14,1,54H035,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37243 PIPER LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.404451585421&lng=-88.1228650847601&z=19&slat=42.404451585421&slng=-88.1228650847601&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810321.5005,5221486.0816,15,1,54H019,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37125 SUMMERFIELD DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4026465830146&lng=-88.1276174602751&z=19&slat=42.4026465830146&slng=-88.1276174602751&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9808872.971,5225289.3013,16,1,54H116,Fire Hydrant,Private,LCPW,Fox Lake Hills,2001/09/14 00:00:00+00,"24750 DERING LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4278697020689&lng=-88.1146050981982&z=19&slat=42.4278697020689&slng=-88.1146050981982&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing Private Fire Hydrant
-9810840.7088,5223336.3973,17,1,54H094,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1965/09/22 00:00:00+00,"37975 PENINSULA RD, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.414919224889&lng=-88.1322815875415&z=19&slat=42.414919224889&slng=-88.1322815875415&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810850.6117,5223473.1737,18,1,54H085,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1965/09/22 00:00:00+00,"38029 PENINSULA RD, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4158263302055&lng=-88.1323705471978&z=19&slat=42.4158263302055&slng=-88.1323705471978&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810632.4183,5221368.0344,19,1,54H098,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/22 00:00:00+00,"37054 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.401863526347&lng=-88.1304104820429&z=19&slat=42.401863526347&slng=-88.1304104820429&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810608.9398,5221243.6016,20,1,54H006,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1995/02/01 00:00:00+00,"37019 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4010381011323&lng=-88.1301995714567&z=19&slat=42.4010381011323&slng=-88.1301995714567&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810459.8078,5221244.9522,21,1,54H005,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/09/09 00:00:00+00,"37015 AVON DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4010470602001&lng=-88.1288598959557&z=19&slat=42.4010470602001&slng=-88.1288598959557&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810278.7317,5221242.2271,22,1,54H004,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/09/09 00:00:00+00,"25354 MONAVILLE RD, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4010289833778&lng=-88.1272332611806&z=19&slat=42.4010289833778&slng=-88.1272332611806&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810259.6965,5221393.5113,23,1,54H096,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/06/20 00:00:00+00,"25346 LINCOLN DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4020325264904&lng=-88.1270622650618&z=19&slat=42.4020325264904&slng=-88.1270622650618&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810281.3943,5221394.3393,24,1,54H012,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"25346 LINCOLN DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4020380184406&lng=-88.1272571801092&z=19&slat=42.4020380184406&slng=-88.1272571801092&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810110.7011,5222773.9293,25,1,54H060,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1958/09/30 00:00:00+00,"37733 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4111887813492&lng=-88.1257238167209&z=19&slat=42.4111887813492&slng=-88.1257238167209&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810975.7411,5221830.0555,26,1,54H039,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/17 00:00:00+00,"37273 LAKE SHORE DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4049282504331&lng=-88.1334946037462&z=19&slat=42.4049282504331&slng=-88.1334946037462&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810817.6516,5221835.9555,27,1,54H044,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1989/08/01 00:00:00+00,"25590 BLACKSTONE PL, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.404967385339&lng=-88.1320744617218&z=19&slat=42.404967385339&slng=-88.1320744617218&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810822.0707,5221679.0341,28,1,54H032,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1989/08/01 00:00:00+00,"37209 HAMPSHIRE LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.403926496841&lng=-88.1321141588982&z=19&slat=42.403926496841&slng=-88.1321141588982&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810962.6154,5221635.7407,29,1,54H027,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/17 00:00:00+00,"37193 LAKE SHORE DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4036393202316&lng=-88.1333766933433&z=19&slat=42.4036393202316&slng=-88.1333766933433&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9811073.2113,5222031.4575,30,1,54H052,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1970/01/01 00:00:00+00,"37365 LAKE SHORE DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4062641627216&lng=-88.134370193628&z=19&slat=42.4062641627216&slng=-88.134370193628&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810854.1339,5221558.2188,31,1,54H026,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1989/08/01 00:00:00+00,"37153 HAMPSHIRE LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4031250946276&lng=-88.1324021877434&z=19&slat=42.4031250946276&slng=-88.1324021877434&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810955.8191,5221457.3277,32,1,54H016,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1970/01/01 00:00:00+00,"37133 LAKE SHORE DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4024558468624&lng=-88.1333156408292&z=19&slat=42.4024558468624&slng=-88.1333156408292&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810974.4389,5221311.5562,33,1,54H008,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1989/08/01 00:00:00+00,"37049 LAKE SHORE DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4014888792392&lng=-88.1334829058927&z=19&slat=42.4014888792392&slng=-88.1334829058927&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810780.2332,5221310.3044,34,1,54H007,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1989/08/01 00:00:00+00,"25583 LAKEVIEW CT, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4014805752892&lng=-88.1317383261697&z=19&slat=42.4014805752892&slng=-88.1317383261697&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810779.7388,5221473.3415,35,1,54H021,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1970/01/01 00:00:00+00,"37124 HILLSIDE DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4025620731434&lng=-88.1317338848828&z=19&slat=42.4025620731434&slng=-88.1317338848828&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810533.9343,5221523.9279,36,1,54H020,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37145 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.402897630965&lng=-88.1295257853232&z=19&slat=42.402897630965&slng=-88.1295257853232&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9808821.4357,5225118.5167,37,1,54H117,Fire Hydrant,Private,LCPW,Fox Lake Hills,2001/09/14 00:00:00+00,"24750 DERING LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.42673726881&lng=-88.114142149082&z=19&slat=42.42673726881&slng=-88.114142149082&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing Private Fire Hydrant
-9809067.6495,5225116.9267,38,1,54H115,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2001/09/14 00:00:00+00,"24750 DERING LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4267267258246&lng=-88.1163539254096&z=19&slat=42.4267267258246&slng=-88.1163539254096&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809441.3874,5224706.481,39,1,54H114,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2001/07/09 00:00:00+00,"38625 IL ROUTE 59 RD, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4240050709376&lng=-88.1197112694225&z=19&slat=42.4240050709376&slng=-88.1197112694225&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809495.1233,5224631.3579,40,1,54H113,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2001/07/09 00:00:00+00,"38468 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4235069183966&lng=-88.1201939871161&z=19&slat=42.4235069183966&slng=-88.1201939871161&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809558.0564,5224441.2341,41,1,54H103  ,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2002/11/09 00:00:00+00,"25076 WARREN AVE, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4222461620358&lng=-88.1207593253001&z=19&slat=42.4222461620358&slng=-88.1207593253001&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809614.5936,5224270.2811,42,1,54H119,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,2002/11/09 00:00:00+00,"25042 BUENA AVE, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.421112510568&lng=-88.1212672078387&z=19&slat=42.421112510568&slng=-88.1212672078387&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810273.6788,5222291.1429,43,1,54H059,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1958/09/30 00:00:00+00,"37483 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4079866313035&lng=-88.1271878705086&z=19&slat=42.4079866313035&slng=-88.1271878705086&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810033.773,5222260.2777,44,1,54H058,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1965/09/22 00:00:00+00,"25242 NEW BARRY LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4077819075049&lng=-88.1250327598284&z=19&slat=42.4077819075049&slng=-88.1250327598284&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810320.4948,5222158.6905,45,1,54H056,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1995/02/01 00:00:00+00,"37411 IL ROUTE 59 , LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4071080932392&lng=-88.1276084255642&z=19&slat=42.4071080932392&slng=-88.1276084255642&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810948.1237,5223248.7039,46,1,54H076,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1965/09/22 00:00:00+00,"25660 COLUMBIA BAY DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4143376325803&lng=-88.1332465123495&z=19&slat=42.4143376325803&slng=-88.1332465123495&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810188.8626,5222112.6971,47,1,54H055,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/12 00:00:00+00,"37399 FAIRVIEW LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4068030226117&lng=-88.1264259538773&z=19&slat=42.4068030226117&slng=-88.1264259538773&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810042.5878,5222071.8123,48,1,54H054,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/12 00:00:00+00,"25250 WAYSIDE PL, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.406531835367&lng=-88.1251119447214&z=19&slat=42.406531835367&slng=-88.1251119447214&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809962.1785,5221933.531,49,1,54H045,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1990/12/12 00:00:00+00,"25210 CARSON DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.405614613633&lng=-88.1243896156661&z=19&slat=42.405614613633&slng=-88.1243896156661&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809951.0484,5221773.5335,50,1,54H036,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/22 00:00:00+00,"25146 LINCOLN DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4045533308219&lng=-88.1242896327069&z=19&slat=42.4045533308219&slng=-88.1242896327069&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9809947.7269,5221633.9432,51,1,54H029,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/22 00:00:00+00,"25255 WOODLAND TER, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4036273972616&lng=-88.1242597948524&z=19&slat=42.4036273972616&slng=-88.1242597948524&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810153.413,5221709.6722,52,1,54H030,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37245 SUMMERFIELD DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4041297265518&lng=-88.1261075044065&z=19&slat=42.4041297265518&slng=-88.1261075044065&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810277.0608,5221844.3825,53,1,54H037,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"25341 CARSON DR, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4050232827407&lng=-88.1272182512622&z=19&slat=42.4050232827407&slng=-88.1272182512622&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
-9810330.1108,5221691.4934,54,1,54H031,Fire Hydrant,LCPW,LCPW,Fox Lake Hills,1996/04/18 00:00:00+00,"37209 FAIRVIEW LN, LAKE VILLA",,1970/01/01 00:00:00+00,http://data.mapchannels.com/dualmaps5/map.htm?lat=42.4040091422485&lng=-88.1276948077955&z=19&slat=42.4040091422485&slng=-88.1276948077955&sh=-148.71&sp=0&sz=1&panel=s&gm=0&bm=2&mw=1&be=1&mv=1&md=1&mi=1,N,Existing LCPW Fire Hydrant
